Symbol
AAPL
MSFT
GOOG
GOOGL
AMZN
UNH
XOM
JNJ
JPM
WMT
CVX
NVDA
LLY
PG
MA
HD
BAC
PFE
ABBV
KO
MRK
PEP
COST
MCD
ORCL
TSLA
TMO
AVGO
CSCO
WFC
TMUS
DIS
COP
DHR
ABT
ACN
BMY
LIN
VZ
MS
TXN
NEE
SCHW
AMGN
NKE
UPS
HON
CMCSA
RTX
CRM
PM
ADBE
LMT
CVS
T
UNP
LOW
IBM
QCOM
DE
GS
CAT
INTC
MDT
NFLX
AXP
CI
INTU
GILD
BLK
AMD
ADP
BA
AMT
GE
CB
PYPL
C
MDLZ
ISRG
TJX
EOG
NOC
MMC
MO
AMAT
REGN
SYK
PLD
VRTX
SPGI
SLB
ADI
TGT
PGR
EL
MPC
NOW
BKNG
HUM
DUK
OXY
GD
MMM
ITW
SO
HCA
MRNA
CSX
PNC
WM
ZTS
USB
FISV
MU
CHTR
ETN
BDX
PXD
MET
CL
APD
LRCX
CME
MCK
BSX
AON
TFC
DG
SHW
NSC
GM
CCI
ORLY
ATVI
ICE
F
EQIX
EMR
VLO
KDP
ADM
MNST
KLAC
D
FCX
MCO
DVN
MAR
CTVA
PSA
SRE
GIS
AZO
HSY
CNC
KHC
STZ
PSX
HES
TRV
LHX
AEP
JCI
APH
AIG
ROP
CTAS
MSI
SNPS
EW
AFL
SYY
FDX
ADSK
NXPI
KMB
RSG
PAYX
KMI
WMB
BIIB
A
AJG
ANET
CDNS
COF
TT
IQV
ECL
CMG
PRU
PH
SPG
NUE
TEL
MSCI
FIS
EA
DOW
MCHP
ENPH
DLTR
HLT
YUM
EXC
O
HAL
XEL
KR
PCAR
CARR
BK
ALL
ILMN
PCG
AMP
CMI
ABC
ALB
WBA
NEM
ROST
IDXX
ODFL
TDG
DD
CSGP
AME
OTIS
HPQ
LVS
ED
RMD
BKR
GWW
SBAC
KEYS
MTD
FANG
DFS
ROK
PEG
GPN
CTSH
FAST
WEC
GLW
ON
LYB
STT
PPG
DLR
OKE
VRSK
APTV
DHI
WELL
BAX
IT
ES
MRO
GPC
HRL
EBAY
HIG
AWK
RJF
IFF
TSN
K
ARE
TROW
LEN
CTRA
FITB
PFG
TSCO
URI
CDW
WY
FTV
HBAN
VMC
ULTA
AVB
EQR
CBRE
ZBH
CF
LH
LUV
EIX
ETR
RF
MTB
IR
ACGL
DTE
MLM
MKC
DAL
FE
CAH
PWR
AEE
ROL
EXR
EFX
PPL
FRC
VICI
WRB
SYF
VRSN
XYL
DOV
MOH
ANSS
TDY
WAT
HOLX
HPE
JBHT
MOS
CHD
DRI
WAB
DGX
EPAM
AES
PAYC
INVH
NTRS
CLX
CNP
MAA
CAG
IEX
CFG
KEY
ABMD
INCY
WST
AMCR
EQT
GRMN
CINF
LYV
CMS
STE
FOX
TRGP
PKI
MPWR
EXPD
VTR
SJM
APA
FOXA
MGM
BALL
BR
BRO
FMC
FDS
HWM
OMC
BBY
NTAP
J
LKQ
CPB
TXT
LDOS
PTC
FLT
SWKS
ATO
IRM
NVR
TRMB
AVY
ALGN
EVRG
L
TER
UAL
ESS
EXPE
CPRT
CBOE
JKHY
COO
AKAM
VTRS
RCL
KIM
PEAK
IP
RE
LNT
NDSN
DPZ
ZBRA
MTCH
NLOK
ETSY
TTWO
SIVB
SWK
LW
TECH
SNA
HST
POOL
TYL
IPG
STX
UDR
CPT
BEN
PKG
GL
WDC
CRL
CHRW
CCL
BXP
BIO
DXCM
SEDG
TAP
VFC
NRG
AAP
REG
MAS
EMN
NDAQ
HSIC
KMX
CE
NWS
NWSA
PHM
HII
QRVO
JNPR
NI
TFX
CZR
ALLE
AAL
WRK
CMA
UHS
MKTX
SBNY
BWA
TPR
AOS
CDAY
HAS
FFIV
RHI
WYNN
WHR
FRT
FBHS
FTNT
ZION
DISH
PNW
IVZ
CTLT
BBWI
DXC
DVA
RL
NCLH
PNR
SEE
AIZ
LUMN
GNRC
MHK
XRAY
OGN
LNC
ALK
NWL
VNO
